,xmin,ymin,xmax,ymax,label,score,image_path,Dead,geometry,index_right,utmZone,individualID,taxonID,siteID,plotID,plantStatus
0,548904.1,5067807.5,548907.4,5067803.9,Tree,0.7711878418922424,ABBY_003_2018.tif,0,"POLYGON ((548907.4 5067807.5, 548907.4 5067803.9, 548904.1 5067803.9, 548904.1 5067807.5, 548907.4 5067807.5))",6,10N,NEON.PLA.D16.ABBY.01551,PSMEM,ABBY,ABBY_003,Live
11,548901.5,5067800.7,548905.2999999999,5067796.9,Tree,0.6670064926147461,ABBY_003_2018.tif,0,"POLYGON ((548905.2999999999 5067800.7, 548905.2999999999 5067796.9, 548901.5 5067796.9, 548901.5 5067800.7, 548905.2999999999 5067800.7))",13,10N,NEON.PLA.D16.ABBY.02954,PSMEM,ABBY,ABBY_003,Live
15,548897.1,5067799.9,548900.7,5067796.5,Tree,0.6433592438697815,ABBY_003_2018.tif,0,"POLYGON ((548900.7 5067799.9, 548900.7 5067796.5, 548897.1 5067796.5, 548897.1 5067799.9, 548900.7 5067799.9))",3,10N,NEON.PLA.D16.ABBY.01521,PSMEM,ABBY,ABBY_003,Live
18,548910.7999999999,5067792.2,548914.7999999999,5067788.100000001,Tree,0.6390889883041382,ABBY_003_2018.tif,0,"POLYGON ((548914.7999999999 5067792.2, 548914.7999999999 5067788.100000001, 548910.7999999999 5067788.100000001, 548910.7999999999 5067792.2, 548914.7999999999 5067792.2))",1,10N,NEON.PLA.D16.ABBY.01512,PSMEM,ABBY,ABBY_003,Live
28,548903.4,5067793.5,548907.2,5067789.8,Tree,0.5970317125320435,ABBY_003_2018.tif,0,"POLYGON ((548907.2 5067793.5, 548907.2 5067789.8, 548903.4 5067789.8, 548903.4 5067793.5, 548907.2 5067793.5))",8,10N,NEON.PLA.D16.ABBY.01564,PSMEM,ABBY,ABBY_003,Live
37,548897.9,5067806.600000001,548901.4,5067802.5,Tree,0.5594131350517273,ABBY_003_2018.tif,0,"POLYGON ((548901.4 5067806.600000001, 548901.4 5067802.5, 548897.9 5067802.5, 548897.9 5067806.600000001, 548901.4 5067806.600000001))",7,10N,NEON.PLA.D16.ABBY.01561,PSMEM,ABBY,ABBY_003,Live
44,548906.7999999999,5067795.100000001,548910.6,5067791.0,Tree,0.5414559841156006,ABBY_003_2018.tif,0,"POLYGON ((548910.6 5067795.100000001, 548910.6 5067791, 548906.7999999999 5067791, 548906.7999999999 5067795.100000001, 548910.6 5067795.100000001))",5,10N,NEON.PLA.D16.ABBY.01544,PSMEM,ABBY,ABBY_003,Live
49,548909.6,5067800.2,548912.9,5067796.8,Tree,0.535164475440979,ABBY_003_2018.tif,0,"POLYGON ((548912.9 5067800.2, 548912.9 5067796.8, 548909.6 5067796.8, 548909.6 5067800.2, 548912.9 5067800.2))",12,10N,NEON.PLA.D16.ABBY.02732,PSMEM,ABBY,ABBY_003,Live
50,548906.6,5067805.100000001,548911.2,5067800.4,Tree,0.5268357992172241,ABBY_003_2018.tif,0,"POLYGON ((548911.2 5067805.100000001, 548911.2 5067800.4, 548906.6 5067800.4, 548906.6 5067805.100000001, 548911.2 5067805.100000001))",11,10N,NEON.PLA.D16.ABBY.02731,PSMEM,ABBY,ABBY_003,Live
50,548906.6,5067805.100000001,548911.2,5067800.4,Tree,0.5268357992172241,ABBY_003_2018.tif,0,"POLYGON ((548911.2 5067805.100000001, 548911.2 5067800.4, 548906.6 5067800.4, 548906.6 5067805.100000001, 548911.2 5067805.100000001))",10,10N,NEON.PLA.D16.ABBY.02730,PSMEM,ABBY,ABBY_003,Live
60,548899.2999999999,5067796.600000001,548902.5,5067793.3,Tree,0.49712038040161133,ABBY_003_2018.tif,0,"POLYGON ((548902.5 5067796.600000001, 548902.5 5067793.3, 548899.2999999999 5067793.3, 548899.2999999999 5067796.600000001, 548902.5 5067796.600000001))",2,10N,NEON.PLA.D16.ABBY.01520,PSMEM,ABBY,ABBY_003,Live
63,548896.2,5067790.4,548899.4,5067787.4,Tree,0.49474120140075684,ABBY_003_2018.tif,1,"POLYGON ((548899.4 5067790.4, 548899.4 5067787.4, 548896.2 5067787.4, 548896.2 5067790.4, 548899.4 5067790.4))",0,10N,NEON.PLA.D16.ABBY.01507,PSMEM,ABBY,ABBY_003,Live
6,554551.1,5066956.0,554556.7,5066949.7,Tree,0.7223714590072632,ABBY_006_2019.tif,0,"POLYGON ((554556.7 5066956, 554556.7 5066949.7, 554551.1 5066949.7, 554551.1 5066956, 554556.7 5066956))",14,10N,NEON.PLA.D16.ABBY.01791,PSMEM,ABBY,ABBY_006,Live
19,554546.8,5066957.7,554550.9,5066953.1,Tree,0.6410488486289978,ABBY_006_2019.tif,1,"POLYGON ((554550.9 5066957.7, 554550.9 5066953.1, 554546.8 5066953.1, 554546.8 5066957.7, 554550.9 5066957.7))",25,10N,NEON.PLA.D16.ABBY.02834,PSMEM,ABBY,ABBY_006,Live
21,554546.4,5066970.5,554552.9,5066962.7,Tree,0.6352239847183228,ABBY_006_2019.tif,0,"POLYGON ((554552.9 5066970.5, 554552.9 5066962.7, 554546.4 5066962.7, 554546.4 5066970.5, 554552.9 5066970.5))",22,10N,NEON.PLA.D16.ABBY.01985,PSMEM,ABBY,ABBY_006,Live
21,554546.4,5066970.5,554552.9,5066962.7,Tree,0.6352239847183228,ABBY_006_2019.tif,0,"POLYGON ((554552.9 5066970.5, 554552.9 5066962.7, 554546.4 5066962.7, 554546.4 5066970.5, 554552.9 5066970.5))",15,10N,NEON.PLA.D16.ABBY.01793,PSMEM,ABBY,ABBY_006,Live
23,554562.1,5066959.0,554567.4,5066952.1,Tree,0.6041138172149658,ABBY_006_2019.tif,0,"POLYGON ((554567.4 5066959, 554567.4 5066952.1, 554562.1 5066952.1, 554562.1 5066959, 554567.4 5066959))",19,10N,NEON.PLA.D16.ABBY.01798,PSMEM,ABBY,ABBY_006,Live
23,554562.1,5066959.0,554567.4,5066952.1,Tree,0.6041138172149658,ABBY_006_2019.tif,0,"POLYGON ((554567.4 5066959, 554567.4 5066952.1, 554562.1 5066952.1, 554562.1 5066959, 554567.4 5066959))",20,10N,NEON.PLA.D16.ABBY.01799,PSMEM,ABBY,ABBY_006,Live
23,554562.1,5066959.0,554567.4,5066952.1,Tree,0.6041138172149658,ABBY_006_2019.tif,0,"POLYGON ((554567.4 5066959, 554567.4 5066952.1, 554562.1 5066952.1, 554562.1 5066959, 554567.4 5066959))",24,10N,NEON.PLA.D16.ABBY.01988,PSMEM,ABBY,ABBY_006,Live
34,554551.0,5066961.7,554553.5,5066959.0,Tree,0.5279543995857239,ABBY_006_2019.tif,0,"POLYGON ((554553.5 5066961.7, 554553.5 5066959, 554551 5066959, 554551 5066961.7, 554553.5 5066961.7))",21,10N,NEON.PLA.D16.ABBY.01984,PSMEM,ABBY,ABBY_006,Live
39,554562.6,5066969.1,554565.9,5066965.8,Tree,0.4304271638393402,ABBY_006_2019.tif,1,"POLYGON ((554565.9 5066969.1, 554565.9 5066965.8, 554562.6 5066965.8, 554562.6 5066969.1, 554565.9 5066969.1))",26,10N,NEON.PLA.D16.ABBY.02894,PSMEM,ABBY,ABBY_006,Live
1,550121.1000000001,5068853.300000001,550128.2000000001,5068845.800000001,Tree,0.7104759812355042,ABBY_008_2018.tif,0,"POLYGON ((550128.2000000001 5068853.300000001, 550128.2000000001 5068845.800000001, 550121.1000000001 5068845.800000001, 550121.1000000001 5068853.300000001, 550128.2000000001 5068853.300000001))",30,10N,NEON.PLA.D16.ABBY.01706,PSMEM,ABBY,ABBY_008,Live
5,550127.2000000001,5068846.0,550133.4,5068838.9,Tree,0.6603227257728577,ABBY_008_2018.tif,0,"POLYGON ((550133.4 5068846, 550133.4 5068838.9, 550127.2000000001 5068838.9, 550127.2000000001 5068846, 550133.4 5068846))",29,10N,NEON.PLA.D16.ABBY.01506,PSMEM,ABBY,ABBY_008,Live
